"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Memory Workload Analysis","Max Bandwidth","%","42.57",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Memory Workload Analysis","L1/TEX Hit Rate","%","0.02",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Memory Workload Analysis","L2 Hit Rate","%","88.08",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Memory Workload Analysis","Mem Pipes Busy","%","42.57",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Scheduler Statistics","One or More Eligible","%","56.89",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Scheduler Statistics","Issued Warp Per Scheduler","","0.57",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Scheduler Statistics","No Eligible","%","43.11",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Scheduler Statistics","Active Warps Per Scheduler","warp","3.91",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Scheduler Statistics","Eligible Warps Per Scheduler","warp","1.81",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","SchedulerStats","","","","IssueSlotUtilization","OPT","Every scheduler is capable of issuing one instruction per cycle, but for this workload each scheduler only issues an instruction every 1.8 cycles. This might leave hardware resources underutilized and may lead to less optimal performance. Out of the maximum of 8 warps per scheduler, this workload allocates an average of 3.91 active warps per scheduler, but only an average of 1.81 warps were eligible per cycle. Eligible warps are the subset of active warps that are ready to issue their next instruction. Every cycle with no eligible warp results in no instruction being issued and the issue slot remains unused. To increase the number of eligible warps, avoid possible load imbalances due to highly different execution durations per warp. Reducing stalls indicated on the Warp State Statistics and Source Counters sections can help, too.","local","3.343"
